ID;NAME;TRADEDATE;OPEN;HIGH;LOW;CLOSE;VALUE;DURATION;YIELD
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);30.09.2011;1521,69;1521,69;1521,69;1521,69;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);03.10.2011;1497,32;1497,32;1497,32;1497,32;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);04.10.2011;1411,7;1411,7;1411,7;1411,7;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);05.10.2011;1409,37;1409,37;1409,37;1409,37;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);06.10.2011;1467,96;1467,96;1467,96;1467,96;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);07.10.2011;1504,85;1504,85;1504,85;1504,85;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);10.10.2011;1537,63;1537,63;1537,63;1537,63;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);11.10.2011;1518,93;1518,93;1518,93;1518,93;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);12.10.2011;1555,06;1555,06;1555,06;1555,06;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);13.10.2011;1546,44;1546,44;1546,44;1546,44;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);14.10.2011;1594,49;1594,49;1594,49;1594,49;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);17.10.2011;1562,34;1562,34;1562,34;1562,34;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);18.10.2011;1587,05;1587,05;1587,05;1587,05;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);19.10.2011;1582,15;1582,15;1582,15;1582,15;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);20.10.2011;1580,31;1580,31;1580,31;1580,31;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);21.10.2011;1611,67;1611,67;1611,67;1611,67;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);24.10.2011;1651,55;1651,55;1651,55;1651,55;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);25.10.2011;1628,56;1628,56;1628,56;1628,56;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);26.10.2011;1670,46;1670,46;1670,46;1670,46;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);27.10.2011;1699,12;1699,12;1699,12;1699,12;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);28.10.2011;1700,46;1700,46;1700,46;1700,46;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);31.10.2011;1669,31;1669,31;1669,31;1669,31;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);01.11.2011;1622,18;1622,18;1622,18;1622,18;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);02.11.2011;1658,46;1658,46;1658,46;1658,46;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);03.11.2011;1672,18;1672,18;1672,18;1672,18;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);07.11.2011;1694,27;1694,27;1694,27;1694,27;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);08.11.2011;1694,13;1694,13;1694,13;1694,13;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);09.11.2011;1638,34;1638,34;1638,34;1638,34;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);10.11.2011;1659,26;1659,26;1659,26;1659,26;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);11.11.2011;1654,12;1654,12;1654,12;1654,12;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);14.11.2011;1653,47;1653,47;1653,47;1653,47;0;;
MCFTRR;Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций);15.11.2011;1657,32;1657,32;1657,32;1657,32;0;;
